Medición 	Año	Mes 	Perimetro.cm	Diametro.cm	Biomasa.kg	Carbono.kg.C	Area.m2
1	2019	Septiembre	39.5	12.573	63.88	29.38471967	1.242
2	2019	Septiembre	58	18.462	165.045	75.92078689	2.677
3	2019	Septiembre	43.8	13.942	82.462	37.93260387	1.527
4	2019	Septiembre	39	12.414	61.9	28.47415027	1.21
5	2019	Septiembre	32	10.186	37.966	17.46448265	0.815
6	2019	Septiembre	85.1	27.088	425.626	195.7880007	5.763
7	2019	Septiembre	39.5	12.573	63.88	29.38471967	1.242
8	2019	Septiembre	234	74.484	5182.087	2383.759914	43.573
9	2019	Septiembre	20	6.366	11.885	5.467329495	0.318
10	2019	Septiembre	48	15.279	103.4	47.56387468	1.833
11	2019	Septiembre	43	13.687	78.79	36.24354606	1.471
12	2019	Septiembre	25.5	8.117	21.664	9.965312323	0.517
13	2019	Septiembre	60	19.099	179.467	82.55471232	2.865
14	2019	Septiembre	74	23.555	301.331	138.6122803	4.358
15	2019	Septiembre	53	16.87	132.086	60.7597254	2.235
16	2019	Septiembre	56.5	17.984	154.698	71.16096735	2.54
17	2019	Septiembre	39.4	12.541	63.481	29.20123994	1.235
18	2019	Septiembre	18	5.73	9.161	4.214135433	0.258
19	2019	Septiembre	53	16.87	132.086	60.7597254	2.235
20	2019	Septiembre	91	28.966	502.3	231.0582124	6.59
21	2019	Septiembre	24	7.639	18.65	8.578909905	0.458
22	2019	Septiembre	46.4	14.77	95.091	43.74174038	1.713
23	2019	Septiembre	36	11.459	50.792	23.36434487	1.031
24	2019	Septiembre	44.5	14.165	85.757	39.44824763	1.576
25	2019	Septiembre	41	13.051	70.042	32.21951796	1.338
26	2019	Septiembre	72	22.918	281.605	129.5384593	4.125
27	2019	Septiembre	52	16.552	126.013	57.96614125	2.152
28	2019	Septiembre	45	14.324	88.158	40.55255763	1.611
29	2019	Septiembre	38	12.096	58.052	26.70394322	1.149
30	2019	Septiembre	49.5	15.756	111.569	51.32152765	1.95
31	2019	Septiembre	35.5	11.3	49.067	22.57066677	1.003
32	2019	Septiembre	18.7	5.952	10.067	4.630743634	0.278
33	2019	Septiembre	76	24.191	321.857	148.0541261	4.596
34	2019	Septiembre	67.1	21.359	236.594	108.8332193	3.583
35	2019	Septiembre	96.1	30.59	574.754	264.3867094	7.349
36	2019	Septiembre	56.3	17.921	153.348	70.54014894	2.522
37	2019	Septiembre	22	7.003	15.042	6.919210975	0.385
38	2019	Septiembre	22	7.003	15.042	6.919210975	0.385
39	2019	Septiembre	64.3	20.467	212.942	97.95338367	3.29
40	2019	Septiembre	72.5	23.077	286.462	131.7726691	4.183
41	2019	Septiembre	78	24.828	343.193	157.8686488	4.841
42	2019	Septiembre	41.5	13.21	72.172	33.19915084	1.371
43	2019	Septiembre	70	22.282	262.669	120.827944	3.899
44	2019	Septiembre	51.5	16.393	123.04	56.5986134	2.111
45	2019	Septiembre	26.7	8.499	24.271	11.16450456	0.567
46	2019	Septiembre	46.2	14.706	94.081	43.27732912	1.699
47	2019	Septiembre	19.5	6.207	11.165	5.135771032	0.303
48	2019	Septiembre	39.5	12.573	63.88	29.38471967	1.242
49	2019	Septiembre	20	6.366	11.885	5.467329495	0.318
50	2019	Septiembre	12	3.82	3.364	1.5473444	0.115
51	2019	Septiembre	10.5	3.342	2.418	1.112471482	0.088
52	2019	Septiembre	13	4.138	4.099	1.885750155	0.134
53	2019	Septiembre	9	2.865	1.652	0.760087113	0.064
54	2019	Septiembre	24	7.639	18.65	8.578909905	0.458
55	2019	Septiembre	19	6.048	10.471	4.816485715	0.287
56	2019	Septiembre	22.5	7.162	15.901	7.314306092	0.403
57	2019	Septiembre	10	3.183	2.144	0.986120821	0.08
58	2019	Septiembre	12	3.82	3.364	1.5473444	0.115
59	2019	Septiembre	33	10.504	40.966	18.84421602	0.867
60	2019	Septiembre	8.5	2.706	1.435	0.659970151	0.057
61	2019	Septiembre	38	12.096	58.052	26.70394322	1.149
62	2019	Septiembre	28	8.913	27.296	12.55618264	0.624
63	2019	Septiembre	46	14.642	93.078	42.81586582	1.684
64	2019	Septiembre	33.5	10.663	42.517	19.55761294	0.893
65	2019	Septiembre	12	3.82	3.364	1.5473444	0.115
66	2019	Septiembre	20	6.366	11.885	5.467329495	0.318
67	2019	Septiembre	24.5	7.799	19.625	9.027334249	0.478
68	2019	Septiembre	46.5	14.801	95.598	43.97505337	1.721
69	2019	Septiembre	38.5	12.255	59.958	27.58059247	1.18
70	2019	Septiembre	25	7.958	20.629	9.489424833	0.497
71	2019	Septiembre	11.5	3.661	3.028	1.392882533	0.105
72	2019	Septiembre	35	11.141	47.377	21.79326332	0.975
73	2019	Septiembre	44.5	14.165	85.757	39.44824763	1.576
74	2019	Septiembre	19.5	6.207	11.165	5.135771032	0.303
75	2019	Septiembre	41	13.051	70.042	32.21951796	1.338
76	2019	Septiembre	72	22.918	281.605	129.5384593	4.125
77	2019	Septiembre	65	20.69	218.716	100.6095098	3.362
78	2019	Septiembre	66.5	21.168	231.401	106.4443009	3.519
79	2019	Septiembre	35	11.141	47.377	21.79326332	0.975
80	2019	Septiembre	19	6.048	10.471	4.816485715	0.287
81	2019	Septiembre	27	8.594	24.95	11.4770425	0.58
82	2019	Septiembre	35.2	11.204	48.048	22.10227866	0.986
83	2019	Septiembre	20	6.366	11.885	5.467329495	0.318
84	2019	Septiembre	14	4.456	4.923	2.264709515	0.156
85	2019	Septiembre	35	11.141	47.377	21.79326332	0.975
86	2019	Septiembre	20	6.366	11.885	5.467329495	0.318
87	2019	Septiembre	19.5	6.207	11.165	5.135771032	0.303
88	2019	Septiembre	42	13.369	74.34	34.19630053	1.404
89	2019	Septiembre	42	13.369	74.34	34.19630053	1.404
90	2019	Septiembre	60	19.099	179.467	82.55471232	2.865
91	2019	Septiembre	30.3	9.645	33.175	15.26071436	0.731
92	2019	Septiembre	11	3.501	2.713	1.247991001	0.096
93	2019	Septiembre	21.4	6.812	14.048	6.462232254	0.364
94	2019	Septiembre	16	5.093	6.848	3.150000377	0.204
95	2019	Septiembre	24.7	7.862	20.023	9.210523186	0.485
96	2019	Septiembre	19.7	6.271	11.45	5.26691335	0.309
97	2019	Septiembre	26.5	8.435	23.824	10.95899385	0.559
98	2019	Septiembre	10	3.183	2.144	0.986120821	0.08
99	2019	Septiembre	15	4.775	5.838	2.685663704	0.179
100	2019	Septiembre	22	7.003	15.042	6.919210975	0.385
101	2019	Septiembre	23.5	7.48	17.704	8.144019714	0.439
102	2019	Septiembre	24	7.639	18.65	8.578909905	0.458
103	2019	Septiembre	24	7.639	18.65	8.578909905	0.458
104	2019	Septiembre	16	5.093	6.848	3.150000377	0.204
105	2019	Septiembre	17	5.411	7.954	3.659059009	0.23
106	2019	Septiembre	23	7.321	16.788	7.72253013	0.421
107	2019	Septiembre	15	4.775	5.838	2.685663704	0.179
108	2019	Septiembre	16	5.093	6.848	3.150000377	0.204
109	2019	Septiembre	11	3.501	2.713	1.247991001	0.096
110	2019	Septiembre	14	4.456	4.923	2.264709515	0.156
111	2019	Septiembre	17	5.411	7.954	3.659059009	0.23
112	2019	Septiembre	12	3.82	3.364	1.5473444	0.115
113	2019	Septiembre	55	17.507	144.747	66.58345615	2.407
114	2019	Septiembre	63	20.053	202.462	93.13236388	3.158
115	2019	Septiembre	64.5	20.531	214.583	98.70796161	3.311
116	2019	Septiembre	73	23.237	291.369	134.02966	4.241
117	2019	Septiembre	42	13.369	74.34	34.19630053	1.404
118	2019	Septiembre	113	35.969	857.688	394.5362955	10.161
119	2019	Septiembre	90	28.648	488.771	224.8347157	6.446
120	2019	Septiembre	124	39.47	1078.99	496.3352415	12.236
121	2019	Septiembre	41.5	13.21	72.172	33.19915084	1.371
122	2019	Septiembre	76	24.191	321.857	148.0541261	4.596
123	2019	Septiembre	43	13.687	78.79	36.24354606	1.471
124	2019	Septiembre	76	24.191	321.857	148.0541261	4.596
125	2019	Septiembre	89	28.33	475.461	218.7121123	6.303
126	2019	Septiembre	36	11.459	50.792	23.36434487	1.031
127	2019	Septiembre	60	19.099	179.467	82.55471232	2.865
128	2019	Septiembre	39	12.414	61.9	28.47415027	1.21
129	2019	Octubre	35.4	11.268	48.726	22.41388757	0.997
130	2019	Octubre	27	8.594	24.95	11.4770425	0.58
131	2019	Octubre	37.2	11.841	55.079	25.33621484	1.101
132	2019	Octubre	23.5	7.48	17.704	8.144019714	0.439
133	2019	Octubre	28.4	9.04	28.27	13.00408342	0.642
134	2019	Octubre	29.2	9.295	30.278	13.92807686	0.679
135	2019	Octubre	24	7.639	18.65	8.578909905	0.458
136	2019	Octubre	38	12.096	58.052	26.70394322	1.149
137	2019	Octubre	39.5	12.573	63.88	29.38471967	1.242
138	2019	Octubre	26.4	8.403	23.602	10.85708985	0.555
139	2019	Octubre	29.6	9.422	31.314	14.40429299	0.697
140	2019	Octubre	29.3	9.326	30.535	14.04623786	0.683
141	2019	Octubre	25.5	8.117	21.664	9.965312323	0.517
142	2019	Octubre	29	9.231	29.769	13.69353517	0.669
143	2019	Octubre	31	9.868	35.102	16.14674081	0.765
144	2019	Octubre	37	11.777	54.35	25.00095445	1.089
145	2019	Octubre	53	16.87	132.086	60.7597254	2.235
146	2019	Octubre	38.2	12.159	58.81	27.05258052	1.161
147	2019	Octubre	45	14.324	88.158	40.55255763	1.611
148	2019	Octubre	28.5	9.072	28.516	13.11752129	0.646
149	2019	Octubre	40.7	12.955	68.783	31.64010484	1.318
150	2019	Octubre	26	8.276	22.729	10.45512601	0.538
151	2019	Octubre	54	17.189	138.33	63.63193194	2.32
152	2019	Octubre	56.5	17.984	154.698	71.16096735	2.54
153	2019	Octubre	30	9.549	32.37	14.89007033	0.716
154	2019	Octubre	35	11.141	47.377	21.79326332	0.975
155	2019	Octubre	31.2	9.931	35.664	16.4053738	0.775
156	2019	Octubre	45.8	14.579	92.081	42.35734446	1.669
157	2019	Octubre	32.4	10.313	39.15	18.008886	0.835
158	2019	Octubre	22.5	7.162	15.901	7.314306092	0.403
159	2019	Octubre	36	11.459	50.792	23.36434487	1.031
160	2019	Octubre	37.7	12	56.926	26.18602662	1.131
161	2019	Octubre	76.5	24.351	327.114	150.472638	4.657
162	2019	Octubre	32.5	10.345	39.449	18.14654348	0.841
163	2019	Octubre	39.5	12.573	63.88	29.38471967	1.242
164	2019	Octubre	44	14.006	83.396	38.36203986	1.541
165	2019	Octubre	43.5	13.846	81.074	37.29383822	1.506
166	2019	Octubre	43	13.687	78.79	36.24354606	1.471
167	2019	Octubre	43.5	13.846	81.074	37.29383822	1.506
168	2019	Octubre	28	8.913	27.296	12.55618264	0.624
169	2019	Octubre	54.5	17.348	141.517	65.09773615	2.364
170	2019	Octubre	67.5	21.486	240.094	110.4433958	3.626
171	2019	Octubre	40	12.732	65.897	30.31240307	1.273
172	2019	Octubre	45	14.324	88.158	40.55255763	1.611
173	2019	Octubre	36	11.459	50.792	23.36434487	1.031
174	2019	Octubre	45	14.324	88.158	40.55255763	1.611
175	2019	Octubre	34	10.823	44.102	20.28684601	0.92
176	2019	Octubre	32.5	10.345	39.449	18.14654348	0.841
177	2019	Octubre	76	24.191	321.857	148.0541261	4.596
178	2019	Octubre	61	19.417	186.949	85.99637621	2.961
179	2019	Octubre	20	6.366	11.885	5.467329495	0.318
180	2019	Octubre	19	6.048	10.471	4.816485715	0.287
181	2019	Octubre	20	6.366	11.885	5.467329495	0.318
182	2019	Octubre	20.5	6.525	12.633	5.811308342	0.334
183	2019	Octubre	57.5	18.303	161.552	74.3137835	2.631
184	2019	Octubre	31	9.868	35.102	16.14674081	0.765
185	2019	Octubre	32.5	10.345	39.449	18.14654348	0.841
186	2019	Octubre	39	12.414	61.9	28.47415027	1.21
187	2019	Octubre	61	19.417	186.949	85.99637621	2.961
188	2019	Octubre	40	12.732	65.897	30.31240307	1.273
189	2019	Octubre	52	16.552	126.013	57.96614125	2.152
190	2019	Octubre	37	11.777	54.35	25.00095445	1.089
191	2019	Octubre	40	12.732	65.897	30.31240307	1.273
192	2019	Octubre	38	12.096	58.052	26.70394322	1.149
193	2019	Octubre	68	21.645	244.513	112.4759453	3.68
194	2019	Octubre	69	21.963	253.494	116.6074322	3.789
195	2019	Octubre	26	8.276	22.729	10.45512601	0.538
196	2019	Octubre	34	10.823	44.102	20.28684601	0.92
197	2019	Octubre	30	9.549	32.37	14.89007033	0.716
198	2019	Octubre	33	10.504	40.966	18.84421602	0.867
199	2019	Octubre	25	7.958	20.629	9.489424833	0.497
200	2019	Octubre	22	7.003	15.042	6.919210975	0.385
201	2019	Octubre	39	12.414	61.9	28.47415027	1.21
202	2019	Octubre	11.5	3.661	3.028	1.392882533	0.105
203	2019	Octubre	29	9.231	29.769	13.69353517	0.669
204	2019	Octubre	34	10.823	44.102	20.28684601	0.92
205	2019	Octubre	17	5.411	7.954	3.659059009	0.23
206	2019	Octubre	49	15.597	108.804	50.0500646	1.911
207	2019	Octubre	67.5	21.486	240.094	110.4433958	3.626
208	2019	Octubre	33	10.504	40.966	18.84421602	0.867
209	2019	Octubre	67	21.327	235.724	108.4328733	3.572
