Unidad,Sitio,Año,S,N,J,H,L
1,Seco Norte,2000,14,190,0.813847619,2.147790523,0.842717906
2,Seco Norte,2000,15,288,0.711268931,1.926151971,0.787746806
3,Seco Norte,2000,8,101,0.685842785,1.426169978,0.681782178
4,Seco Norte,2000,14,188,0.703489454,1.856548999,0.793491865
5,Seco Sur,2000,11,253,0.67232377,1.61216199,0.694334651
6,Seco Sur,2000,20,581,0.485251522,1.453683645,0.635129681
7,Seco Sur,2000,15,117,0.788532155,2.135384661,0.834364869
8,Seco Sur,2000,23,509,0.710023636,2.226275003,0.825340717
9,Barra Cosme,2000,21,130,0.811949172,2.471997471,0.886344663
10,Barra Cosme,2000,5,37,0.460277501,0.74078806,0.342342342
11,Barra Cosme,2000,20,181,0.871486584,2.610740485,0.913996317
12,Barra Cosme,2000,9,40,0.765901678,1.682857991,0.782051282
13,Barra Cosme,2000,12,102,0.603318632,1.49919048,0.595612502
14,Barra Cosme,2000,8,22,0.801336586,1.666332585,0.770562771
15,Barra Cosme,2000,8,61,0.620444042,1.290177114,0.601092896
16,Barra Cosme,2000,15,98,0.763810221,2.068436423,0.832947612
17,Barra Cosme,2000,7,175,0.287848705,0.560127716,0.240525452
18,Botafuego,2000,19,179,0.608692072,1.792256662,0.670579374
19,Botafuego,2000,11,24,0.912655192,2.188451572,0.902173913
20,Botafuego,2000,16,88,0.793791505,2.200857376,0.848746082
21,Botafuego,2000,16,140,0.831380098,2.305075083,0.854676259
22,Botafuego,2000,14,93,0.632665252,1.66963987,0.659186536
23,Botafuego,2000,18,284,0.589722736,1.70451794,0.72893545
24,Botafuego,2000,13,50,0.850677245,2.181944054,0.87755102
25,Botafuego,2000,13,61,0.913542958,2.343191422,0.9
26,Botafuego,2000,10,80,0.851478739,1.96060225,0.844620253
27,Botafuego,2000,10,52,0.770652074,1.774491978,0.757164404
28,Carrizal,2000,14,131,0.63179249,1.667336603,0.740223136
29,Carrizal,2000,13,93,0.814633169,2.089492824,0.847826087
30,Carrizal,2000,12,48,0.819573506,2.036563656,0.846631206
31,Carrizal,2000,16,80,0.837395443,2.32175316,0.868987342
32,Carrizal,2000,17,42,0.866928465,2.456193296,0.895470383
33,Carrizal,2000,10,41,0.837949988,1.929451151,0.837804878
34,Carrizal,2000,14,65,0.892548579,2.355486869,0.895673077
35,Carrizal,2000,22,213,0.716248121,2.213953348,0.826468243
36,Carrizal,2000,10,134,0.710412372,1.635784938,0.734709909
37,Carrizal,2000,8,51,0.767746416,1.596483792,0.757647059
38,Cayo,2000,14,69,0.782023558,2.063805004,0.823529412
39,Cayo,2000,11,102,0.815382914,1.955202836,0.839060377
40,Cayo,2000,15,219,0.535579636,1.450376542,0.597210004
41,Cayo,2000,14,144,0.709416847,1.872191731,0.775835276
42,Cayo,2000,8,55,0.772752712,1.606894091,0.76969697
43,Cayo,2000,13,83,0.641687219,1.645895221,0.726711725
44,Cayo,2000,10,66,0.716324864,1.649398953,0.740792541
45,Cayo,2000,11,141,0.669075144,1.604372126,0.729078014
46,Cayo,2000,21,399,0.516005012,1.570988838,0.699235526
47,Cayo,2000,15,107,0.694174912,1.879860511,0.780285664
48,Cobre,2000,9,37,0.639734109,1.405639508,0.629129129
49,Cobre,2000,12,83,0.754980875,1.876056996,0.808698207
50,Cobre,2000,18,188,0.813315264,2.350783469,0.873364433
51,Cobre,2000,10,116,0.76196216,1.754482711,0.760869565
52,Cobre,2000,9,128,0.49494172,1.087498111,0.477977362
53,Cobre,2000,15,96,0.765238146,2.072303316,0.824780702
54,Cobre,2000,9,155,0.518965499,1.140283749,0.542521994
55,Cobre,2000,7,38,0.558022068,1.085860805,0.490753912
56,Cobre,2000,13,51,0.865618023,2.220266393,0.876078431
57,Cobre,2000,10,86,0.758786912,1.747171432,0.790697674
58,Pardito Norte,2000,9,47,0.775960127,1.704958662,0.768732655
59,Pardito Norte,2000,9,90,0.6422963,1.411269217,0.690387016
60,Pardito Norte,2000,19,155,0.801511107,2.360000545,0.878927524
61,Pardito Norte,2000,13,51,0.769447658,1.973594276,0.790588235
62,Pardito Norte,2000,18,106,0.749150952,2.165324753,0.818508535
63,Pardito Norte,2000,9,55,0.781172215,1.71641079,0.781144781
64,Pardito Norte,2000,15,46,0.874420236,2.367973895,0.89178744
65,Pardito Norte,2000,17,60,0.740426609,2.097786549,0.796610169
66,Pardito Norte,2000,10,43,0.825658461,1.901148863,0.831672204
67,Pardito Norte,2000,7,38,0.643093704,1.251402565,0.644381223
68,Pardo Sur,2000,17,240,0.498225181,1.41157823,0.582252441
69,Pardo Sur,2000,21,93,0.856107411,2.606438222,0.911173446
70,Pardo Sur,2000,16,143,0.84173901,2.333796086,0.88496011
71,Pardo Sur,2000,7,44,0.838437753,1.631524532,0.782241015
72,Pardo Sur,2000,18,224,0.818034227,2.364423027,0.884609225
73,Majahua,2000,17,189,0.772557007,2.188818822,0.855060227
74,Majahua,2000,24,302,0.443366881,1.409043816,0.5782051
75,Majahua,2000,13,57,0.832005586,2.134052194,0.864035088
76,Majahua,2000,16,129,0.708873224,1.965413905,0.815043605
77,Majahua,2000,10,106,0.549144414,1.264451743,0.610422282
78,Majahua,2000,20,273,0.555273821,1.663451707,0.712427279
79,Majahua,2000,18,282,0.747120851,2.159457008,0.824537493
80,Majahua,2000,11,83,0.804518421,1.929150918,0.821334117
81,Majahua,2000,11,129,0.803167145,1.9259107,0.800145349
82,Majahua,2000,19,189,0.719911146,2.11973444,0.814927389
83,Amor,2000,16,76,0.781437206,2.166603984,0.843508772
84,Amor,2000,14,98,0.759199128,2.003570022,0.824952661
85,Amor,2000,16,115,0.543630305,1.507263254,0.607627765
86,Amor,2000,10,48,0.644907994,1.484955533,0.625
87,Amor,2000,7,59,0.888083454,1.728130607,0.818819404
88,Amor,2000,20,111,0.862982744,2.585265258,0.909254709
89,Amor,2000,9,26,0.94011417,2.06564196,0.895384615
90,Amor,2000,15,135,0.822868101,2.228368127,0.85395246
91,Amor,2000,6,30,0.908816045,1.628379755,0.802298851
92,Amor,2000,11,45,0.824853593,1.977912532,0.843434343
93,Las Peñitas,2000,3,8,0.819448372,0.900256051,0.607142857
94,Las Peñitas,2000,5,22,0.641106087,1.031820442,0.528138528
95,Las Peñitas,2000,2,12,0.979868757,0.679193266,0.53030303
96,Las Peñitas,2000,2,16,0.337290067,0.233791659,0.125
97,Las Peñitas,2000,8,80,0.551762856,1.147358603,0.562341772
98,Las Peñitas,2000,5,34,0.938986401,1.511240312,0.786096257
99,Las Peñitas,2000,6,119,0.565310004,1.012899552,0.569007264
100,Las Peñitas,2000,6,37,0.566413297,1.014876388,0.492492492
101,Las Peñitas,2000,9,93,0.701031554,1.540323761,0.692379617
